segment_id,function_class,lane_number,speed_class,road_length,out_degree,trajectory_count,medium_speed,other_attrs_json
90001731953310,5,1,6,47,3,5,6,
90000012497961,5,1,6,70,4,5,2,
393761771,5,1,6,105,3,5,6,
1012768440,5,2,5,91,2,5,2,
90000000922321,5,1,6,77,2,5,11,
879051061,5,1,6,286,3,5,7,
90001668350031,5,1,7,51,2,5,4,
5055501,5,1,7,5,2,5,11,
90000255947080,5,2,6,26,2,5,4,
90001778112200,5,1,6,95,3,5,4,
90001244397691,5,1,6,44,4,5,2,
4903230,5,1,6,62,2,5,11,
90001715575501,5,1,6,102,3,5,13,
90001869551150,5,1,6,93,3,5,5,
90001691753490,4,2,5,41,2,5,2,
490892321,5,1,6,205,2,5,16,
505290981,4,2,5,30,3,5,0,
90000308913960,5,2,4,105,1,5,16,
500646451,5,1,6,24,2,5,0,
433200101,5,1,6,11,2,5,5,
90000909599960,5,1,6,11,4,5,2,
3862830,5,1,6,59,2,5,11,
419175610,5,1,7,58,3,5,5,
90000260751220,5,1,6,42,3,5,1,
701989980,5,1,6,11,2,5,7,
90001313475021,2,2,7,134,2,5,15,
2867610,5,1,6,167,2,5,8,
90000259091351,5,1,7,116,3,5,5,
180611810,5,1,6,26,2,5,5,
90000236921400,5,1,6,46,3,5,12,
90001822918100,5,1,6,43,3,5,7,
90000975178130,5,1,6,44,3,5,10,
90001617265741,5,1,6,63,3,5,8,
90000001043660,5,1,6,104,3,5,6,
90001660472060,5,1,6,25,3,5,5,
90000001234360,5,1,6,35,3,5,1,
4341041,5,1,6,239,3,5,2,
90000220488381,5,1,7,25,3,5,5,
397553700,5,1,7,203,5,5,10,
90000327594890,5,1,7,17,3,5,2,
90001263289250,5,1,6,46,2,5,7,
90000259597620,5,1,6,44,3,5,1,
90001845483401,5,1,6,198,3,5,0,
4750291,5,1,6,205,4,5,12,
90000220188870,5,1,6,449,3,5,0,
90001762467791,5,1,6,100,3,5,6,
708231851,5,1,5,32,1,5,2,
877080971,5,1,6,175,3,5,0,
90001570604581,5,1,6,35,3,5,9,
90000013170051,5,1,6,294,3,5,8,
90000331305281,5,1,6,7,3,0,1,
90001425571431,5,1,6,160,3,5,11,
691147341,5,1,6,22,2,5,11,
655996921,5,1,5,152,3,5,7,
2830680,5,2,6,51,1,5,8,
90001617857830,5,1,6,237,2,5,9,
90000198625911,5,1,6,98,4,5,0,
655999150,5,1,6,78,2,5,6,
864442640,5,1,6,16,2,5,10,
677429660,5,1,6,46,3,5,2,
90001822278390,5,1,7,28,2,5,3,
90001656192351,5,1,7,46,3,5,10,
90001738452011,5,1,6,13,2,5,5,
6074530910,5,1,6,178,3,5,11,
90000888812201,5,1,7,149,2,5,3,
328709791,5,1,6,98,4,5,0,
90000311744600,3,1,6,38,3,5,4,
90001732134081,5,1,6,8,3,5,0,
90000994929491,5,1,6,187,2,5,8,
2672770,5,1,6,17,3,5,3,
467013641,5,1,6,87,3,5,2,
90000584907241,4,1,7,185,1,5,2,
90001756773160,4,2,7,14,2,5,0,
2357861,5,1,6,87,2,5,9,
1106588531,5,1,6,71,3,5,10,
90001797182691,5,1,5,77,2,5,5,
782740221,5,1,6,116,4,5,4,
359110491,5,1,6,130,3,5,8,
180567080,5,1,6,84,3,5,6,
4246801,5,1,7,4,3,5,0,
90001428276960,5,1,7,94,3,5,6,
2458721,5,2,6,10,2,5,4,
725163010,5,1,7,334,2,5,11,
90001716349451,5,1,6,33,3,5,0,
196931331,4,2,5,8,3,5,9,
146801170,5,1,6,8,3,5,0,
90000598642511,5,1,6,107,3,5,12,
3219630,4,1,6,56,3,0,4,
145940121,5,1,6,19,2,5,4,
90001438247460,5,1,6,12,3,5,4,
90000995374251,5,1,6,77,3,5,10,
302203320,5,1,6,217,3,5,10,
90000573180671,5,1,6,68,3,5,0,
433231821,5,1,6,27,3,5,0,
302445621,5,1,6,74,2,5,6,
90001497469221,5,1,6,86,3,5,7,
90001776060860,4,2,6,238,1,5,12,
90001778083351,5,2,6,71,3,5,8,
90001814855911,5,1,6,31,3,5,7,
90000228055941,5,1,6,71,3,5,6,
90000266240390,5,1,6,73,2,5,5,
4510401,5,1,7,6,3,0,5,
499564260,5,1,6,27,3,5,0,
90000219660561,5,1,6,90,3,5,11,
701986691,5,1,6,11,4,5,9,
90000255895610,5,2,6,83,2,5,4,
183830920,5,1,6,305,2,5,4,
2321060,5,1,6,7,4,5,12,
90001627395891,5,1,7,96,4,5,0,
887026011,5,1,6,13,2,5,4,
429266910,4,1,6,43,3,5,12,
6092093831,5,1,6,14,2,5,3,
705886840,5,1,6,77,4,5,3,
90000226781390,5,1,6,89,3,2,0,
90000013240551,5,1,6,372,3,5,10,
90000001154270,5,1,6,57,3,5,1,
90001377716191,5,1,6,54,3,5,4,
99797531,5,1,6,6,2,5,4,
158122741,5,1,6,289,3,5,5,
90001625776251,5,1,6,11,3,5,0,
90001563218320,5,1,6,105,4,5,3,
90001846269520,5,1,6,87,1,5,0,
3003170,5,1,6,47,3,5,4,
90001798683350,4,3,5,300,2,5,13,
90001407551320,5,1,5,81,4,5,3,
400190671,4,2,5,97,2,5,3,
1089427750,5,1,6,8,3,5,2,
162855570,5,1,6,14,3,5,2,
5091774500,5,1,6,24,3,5,2,
90000462411030,5,1,6,76,3,5,14,
90000261275390,5,1,6,38,3,5,2,
90001826721231,5,1,6,34,3,5,0,
90001375120140,5,1,6,25,2,5,0,
90000383974601,5,1,7,30,3,5,8,
6656961,5,1,6,18,3,5,0,
158118241,5,1,6,56,2,5,0,
90000570103501,5,1,6,127,2,5,10,
90001390947691,5,1,6,61,3,5,3,
615336080,5,1,6,118,2,5,12,
6456891,5,1,6,52,2,5,0,
90000237530800,5,1,6,152,3,5,2,
698696950,5,1,6,164,3,5,1,
6305910,3,2,6,103,2,5,10,
3726120,5,1,7,641,2,5,12,
166829721,5,1,6,77,4,5,6,
90001055575470,5,1,6,102,4,5,12,
90001693322770,5,1,6,25,2,6,0,
90000260069550,5,1,7,151,3,5,3,
880263701,5,1,6,155,3,5,5,
90001806857680,5,1,6,210,3,5,15,
2900161,5,1,6,212,2,5,8,
90001178301570,4,1,6,73,2,5,7,
886449520,5,1,6,17,2,5,4,
90001579627451,5,1,6,38,4,5,5,
90000384360501,5,1,6,40,3,5,6,
6095183151,5,1,6,168,3,5,14,
3072840,4,2,5,176,3,5,6,
655826130,5,1,6,21,3,5,3,
431468951,5,1,6,16,4,5,0,
5746200,5,1,6,40,2,5,4,
90001426322001,5,1,6,48,2,5,4,
150447750,5,1,6,30,4,5,1,
164616491,5,1,6,203,2,5,6,
90000977309221,5,1,6,123,3,5,11,
90001177052351,5,1,6,96,3,5,6,
873832301,4,2,5,324,2,5,13,
90001178977670,5,1,6,99,3,5,8,
90000384497640,5,1,6,36,3,5,1,
8628940,5,1,7,497,2,5,12,
630258761,5,1,6,29,4,5,4,
403853501,5,1,6,36,4,5,1,
90001889036551,5,2,6,132,3,5,0,
90000974860760,5,1,6,31,3,5,1,
90001197826920,5,1,6,58,2,5,5,
90000883653830,5,1,7,584,1,5,10,
322660981,5,1,6,148,3,5,9,
90000889544070,5,1,6,41,3,5,0,
90000889346391,5,1,6,26,3,5,7,
90001580228250,5,1,6,39,3,5,5,
154742980,5,1,6,22,2,5,6,
199380901,5,1,6,67,3,5,6,
402482991,5,1,6,16,2,5,11,
490461640,5,2,5,33,2,5,0,
4325311,5,1,6,163,4,5,5,
90001825391550,5,1,7,75,1,5,12,
90000013262651,5,1,6,15,2,5,2,
698695781,5,1,6,72,3,5,7,
90000001028060,5,1,6,189,3,5,0,
141905500,5,1,6,110,1,5,4,
90001580382941,5,1,6,74,3,5,8,
886530630,5,1,6,9,2,5,0,
90000261772880,5,1,7,23,4,5,2,
90001816186101,5,1,6,118,3,5,7,
90000265997351,5,1,6,332,3,5,6,
90000001088311,5,1,6,74,3,6,1,
90000331821981,5,1,6,24,3,5,8,
90000221556480,5,1,6,134,2,5,9,
90000258574411,5,1,6,73,4,5,0,
615336070,5,1,6,44,2,5,11,
90001624838850,5,1,6,15,3,5,2,
166829720,5,1,6,77,3,5,5,
90000000076490,5,1,6,94,4,5,1,
